release_year,movie_count,avg_rating,total_rating_count
1936,1,9.3,349738.0
1939,1,9.3,800541.0
1953,1,9.1,1052715.0
1957,2,9.5,1332400.0
1961,1,9.4,513107.0
1965,1,9.1,687963.0
1972,1,9.3,1113078.0
1974,1,9.3,644343.0
1975,1,9.1,608718.0
1984,1,9.1,475484.0
1986,1,9.2,1014005.0
1987,1,9.3,1034340.0
1988,2,9.2,2161890.0
1989,1,9.2,890261.0
1991,1,8.9,1022390.0
1992,1,9.1,1028782.0
1993,3,9.3,4919494.0
1994,7,9.3,11938717.0
1995,4,8.98,5492394.0
1997,5,9.24,6002332.0
1998,4,9.22,5328798.0
1999,3,8.97,3041527.0
2000,3,9.1,2336857.0
2001,4,9.2,5802031.0
2002,5,9.16,5331934.0
2003,4,8.98,3692538.0
2004,5,9.04,6097698.0
2006,4,9.05,3875901.0
2008,4,9.18,4455081.0
2009,5,9.16,7121587.0
2010,4,9.1,7445346.0
2011,4,9.15,4047405.0
2012,1,9.1,1495437.0
2013,2,9.25,1440815.0
2014,2,9.15,3288934.0
2015,1,9.3,789520.0
2016,3,9.03,5535574.0
2017,1,9.1,2002093.0
2018,3,9.0,5430769.0
2023,1,9.3,380359.0
